"","spotify_id","name","followers","genres"
"98","4RVnAU35WRWra6OZ3CbbMA","Kylie Minogue",1543092,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop', 'uk pop']"
"99","4Ui2kfOqGujY81UcPrb5KE","HAIM",1210287,"['art pop', 'metropopolis']"
"100","2kRfqPViCqYdSGhYSM9R0Q","Madison Beer",5408447,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
"101","7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers",6486402,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']"
"102","3PyJHH2wyfQK3WZrk9rpmP","Ashnikko",1768694,"['electropop', 'escape room', 'pop']"
"103","0xRXCcSX89eobfrshSVdyu","MEDUZA",551577,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']"
"104","2cFrymmkijnjDg9SS92EPM","blackbear",4772667,"['electropop', 'pop', 'pop rap']"
"105","6h2J3dxLnTyURwIUBumKog","Rich Gang",873229,"['pop rap', 'rap', 'southern hip hop', 'trap']"
"106","391oLRVmoTkumiN79HkTWu","Darlene Love",45714,"['brill building pop']"
"107","34bhyY8jfKez7uKakMfy4y","Maddie & Tae",963576,"['contemporary country', 'country', 'country road', 'pop']"
"108","2VAnyOxzJuSAj7XIuEOT38","AlunaGeorge",428270,"['electropop', 'house', 'tropical house']"
"109","2KsP6tYLJlTBvSUxnwlVWa","Mike Posner",1290907,"['dance pop', 'edm', 'pop', 'pop rap']"
"110","1G9G7WwrXka3Z1r7aIDjI7","Outkast",2035367,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop']"
"111","2vnB6tuQMaQpORiRdvXF9H","Beach Bunny",1003900,"['bubblegrunge', 'chicago indie', 'indie pop', 'indie rock']"
"112","0jnsk9HBra6NMjO2oANoPY","Flo Rida",8645421,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
"113","1moxjboGR7GNWYIMWsRjgG","Florence + The Machine",6017975,"['baroque pop', 'pop', 'uk alternative pop']"
"114","3Fdm9TFJQCLmC3AWMuGExi","Ugly God",2038114,"['meme rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']"
