"ego_spotify_id","alter_spotify_id", "alter_name", "alter_followers"
4YXycRbyyAE0wozTk7QMEq,6mPZJXtFVaakznkRxdgWtC,Throttle,88112.0
4YXycRbyyAE0wozTk7QMEq,5mYakBbBzPMQTfkVMIgiDM,Georgia Ku,19130.0
4YXycRbyyAE0wozTk7QMEq,4bazJLWIv8CuqmgxJRiGqo,Just Kiddin,41878.0
4YXycRbyyAE0wozTk7QMEq,6TXM1kV4L8DsDAkAfbOPYk,Ally Brooke,475143.0
4YXycRbyyAE0wozTk7QMEq,4zTLrRqcBmj7ZDuLUrKBL1,Yashua,31231.0
4YXycRbyyAE0wozTk7QMEq,5WdqBAQhGFCrZvBKXiPIu7,The Him,107823.0
4YXycRbyyAE0wozTk7QMEq,7mWMzxN6IAIQ1tfFFtAiQv,Bryn Christopher,6343.0
4YXycRbyyAE0wozTk7QMEq,743a54vYBks5izSpJdWOSc,Vertue,209.0
4YXycRbyyAE0wozTk7QMEq,5v8ZROs9c26k4yGMxUkebt,Jack Wins,36784.0
4YXycRbyyAE0wozTk7QMEq,6ly2Z6h9dOerORbK1l2N8D,Coucheron,9518.0
4YXycRbyyAE0wozTk7QMEq,4gxmaAX3cWO9PUVmEYVAhd,Alyx Ander,6705.0
4YXycRbyyAE0wozTk7QMEq,7MdlXmq2HViAJWo9cf30sR,Cloonee,79619.0
4YXycRbyyAE0wozTk7QMEq,5uEeqYFuIChoWKy34jp8xE,Brando,16997.0
4YXycRbyyAE0wozTk7QMEq,5YMqwPmb7ViNXM63g1MUH5,BullySongs,2816.0
4YXycRbyyAE0wozTk7QMEq,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,8686870.0
4YXycRbyyAE0wozTk7QMEq,7AzjETXRUKNRSJHMW9GIqd,Nina Nesbitt,317742.0
4YXycRbyyAE0wozTk7QMEq,4iaTgZRy5aVnImDyRJn61n,James Newman,9290.0
4YXycRbyyAE0wozTk7QMEq,6T56xtTEllGW17snjAZLNP,Gia Woods,61370.0
4YXycRbyyAE0wozTk7QMEq,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,38371125.0
4YXycRbyyAE0wozTk7QMEq,5lzHwZFme9EybZygeGKMA0,D-Boy,592.0
4YXycRbyyAE0wozTk7QMEq,5M0lbkGluOPXLeFjApw8r8,DRAM,821196.0
4YXycRbyyAE0wozTk7QMEq,4jQF2fKZDX6pQIPWwsNWyp,KStewart,6518.0
4YXycRbyyAE0wozTk7QMEq,6CoTYzOyg2NW2OUEFaSTxO,Hurley Mower,6677.0
4YXycRbyyAE0wozTk7QMEq,5pCzC0BOLY2MpqYr1qksg2,Nick Talos,3002.0
4YXycRbyyAE0wozTk7QMEq,6YHEMoNPbcheiWS2haGzkn,Michael Bolton,1656517.0
